PDB	pKd
4g2r	4.446
4y4j	2.469
4jn4	5.86
3ary	6.0
4qij	5.538
5jxn	6.411
3ime	3.0
5eqp	5.398
4s2i	9.0
3mo5	6.866
5eh8	3.102
5f1r	6.0
5ut6	4.242
5vc5	7.959
5o0b	4.18
3s73	8.699
4puj	7.456
4qsu	2.0
5f63	7.921
3otf	6.081
3o9p	6.523
4qzs	7.051
5vfm	3.824
4qem	7.796
4wr7	11.699
3p5o	7.258
4q0l	7.699
4kv9	3.836
5eh5	5.87
3wtl	7.036
5arf	6.268
3ppq	4.553
3lp7	5.444
4wt2	10.42
3usx	5.021
4tyl	3.222
4q9o	5.77
3w9r	6.18
4wmu	6.745
4m0z	5.194
4c1y	3.6
4bcs	6.987
4xy8	6.401
4aci	2.222
2wji	5.018
5orw	3.099
4lhv	10.0
4u5o	2.42
4kne	5.9
5ejl	6.62
3dsu	7.027
4lwc	6.721
3cct	7.562
5f8y	4.244
4wmv	4.032
5nu5	6.328
4zgk	5.509
5nki	7.721
2xjg	7.824
3exh	4.883
4q4o	7.465
5csp	4.237
3bf1	2.523
4u0f	5.921
2xcg	8.046
4uyf	7.602
4mjo	6.222
4yho	10.745
5mi6	7.301
5wbf	3.81
4zs9	4.569
5his	4.708
4mq6	6.469
5u9i	7.31
2wig	3.432
5vcw	5.957
5ta2	7.959
4leq	6.541
3p8e	5.155
4kni	7.777
4d7b	7.678
5j1r	4.658
5erg	4.353
5n93	8.658
4ly9	8.155
3wtm	7.0
4whq	4.125
3uex	6.921
3bra	2.699
4lbp	4.943
5j71	6.959
4eej	7.155
4b0b	3.328
5lpj	4.996
3cj4	6.509
4x5z	7.627
6b7d	4.284
2yb0	3.854
5egu	5.854
3lka	2.824
3smq	5.022
5lvn	4.699
3c2r	3.108
5f5z	7.066
4r4q	5.086
3ppr	2.824
3zp9	7.824
2xab	9.268
3ncr	4.111
3kdd	8.462
5l9o	5.398
3c8e	4.155
6b7c	5.143
3wzp	6.824
2yi0	8.125
5f2k	6.157
4btk	6.62
2yfa	5.071
3q71	5.222
3ri1	5.301
4qsv	2.0
5wyz	7.678
3m3r	6.319
3cdb	7.019
4cga	6.398
5o0a	3.237
4jyb	6.959
4pp0	4.399
3qin	6.866
5ipj	8.886
3m5e	7.367
3ujb	5.102
5d3n	5.036
3eks	5.699
2qtn	3.418
3npc	8.337
5flq	2.967
2xp7	5.77
3m40	6.77
5wl0	9.174
5t3n	8.041
5a5q	4.678
5vcy	6.569
5myg	7.509
2vyt	2.735
4w9f	5.485
4avj	7.438
4dcx	4.503
4jfm	5.481
3r0y	4.838
4nbl	6.328
4np9	5.027
4e6c	4.824
4dzy	5.62
4zsh	7.046
3aru	3.222
3jyr	5.538
5acy	8.194
4ghi	7.092
5etr	6.523
3pxq	4.432
4g5y	2.77
4oag	6.301
2vrj	6.301
4or6	5.31
3d78	7.638
4cgi	3.124
5a5v	7.481
3u6w	6.921
5alb	10.708
4xoe	5.004
2zif	4.367
5mty	8.886
3hdk	4.757
5e2n	9.538
2w8w	2.125
3zi0	7.398
5ja0	5.222
4mr3	5.942
5ijj	6.553
3s8x	7.301
4tq3	5.495
4x5p	8.208
2uzj	4.569
4qxr	6.004
2xgs	3.276
4ipj	4.87
5egs	6.013
3lxk	9.796
5i2f	6.495
4qsw	1.678
5d3l	6.056
4f1l	5.119
4b1j	7.301
3lk8	7.706
4j7e	4.854
5ot8	4.195
3b5j	5.678
3el4	7.171
3ta0	3.471
5orz	3.365
4i7l	3.987
3gy2	5.745
4ury	2.222
3g15	7.0
2wl5	4.523
4lxz	6.74
4ad6	4.777
2whp	4.0
5wbo	4.208
4hu1	7.538
2wc4	5.292
3bwj	6.496
4dcs	5.097
5j32	5.081
4jne	5.86
5m3b	6.921
3bxe	5.476
5lli	7.046
4rd3	6.469
4wyp	3.357
4lyw	6.625
4u5s	2.409
3u5j	5.609
3sbh	7.284
3n35	3.366
